,time,value
0,00:27:20,99
1,00:27:25,70
2,00:27:30,85
3,00:27:35,114
4,00:27:40,113
5,00:27:55,111
6,00:28:00,104
7,00:28:05,105
8,00:28:15,100
9,00:28:20,92
10,00:28:25,86
11,00:28:30,84
12,00:28:35,83
13,00:28:50,83
14,00:29:05,84
15,00:29:15,85
16,00:29:25,86
17,00:29:30,85
18,00:29:35,85
19,00:29:40,84
20,00:29:45,83
21,00:30:00,83
22,00:30:05,82
23,00:30:15,86
24,00:30:20,84
25,00:30:25,86
26,00:30:30,86
27,00:30:40,87
28,00:30:45,86
29,00:31:00,85
30,00:31:15,83
31,00:31:30,83
32,00:31:35,82
33,00:31:50,81
34,00:32:00,82
35,00:32:05,83
36,00:32:10,80
37,00:32:15,81
38,00:32:20,80
39,00:32:25,80
40,00:32:30,78
41,00:32:35,76
42,00:32:45,74
43,00:32:50,73
44,00:33:00,72
45,00:33:05,71
46,00:33:10,70
47,00:33:25,70
48,00:33:30,64
49,00:33:40,66
50,00:33:45,65
51,00:34:00,64
52,00:34:10,61
53,00:34:15,61
54,00:34:30,61
55,00:34:45,61
56,00:34:50,62
57,00:35:00,64
58,00:35:10,63
59,00:35:25,63
60,00:35:30,60
61,00:35:40,59
62,00:35:55,59
63,00:36:00,60
64,00:36:15,60
65,00:36:20,61
66,00:36:30,61
67,00:36:40,59
68,00:36:55,59
69,00:37:00,60
70,00:37:10,61
71,00:37:20,60
72,00:37:30,59
73,00:37:40,62
74,00:37:45,63
75,00:37:50,64
76,00:38:00,64
77,00:38:10,64
78,00:38:25,64
79,00:38:40,65
80,00:38:50,62
81,00:39:05,62
82,00:39:15,63
83,00:39:20,60
84,00:39:35,60
85,00:39:50,60
86,00:40:00,59
87,00:40:10,58
88,00:40:25,58
89,00:40:30,59
90,00:40:40,61
91,00:40:55,61
92,00:41:00,64
93,00:41:10,62
94,00:41:20,60
95,00:41:30,59
96,00:41:45,59
97,00:41:50,60
98,00:42:00,59
99,00:42:10,60
100,00:42:25,60
101,00:42:40,61
102,00:42:50,60
103,00:43:00,58
104,00:43:10,59
105,00:43:20,60
106,00:43:30,61
107,00:43:40,60
108,00:43:50,60
109,00:44:00,60
110,00:44:05,60
111,00:44:20,60
112,00:44:30,58
113,00:44:45,58
114,00:44:50,58
115,00:45:00,57
116,00:45:10,58
117,00:45:25,59
118,00:45:40,61
119,00:45:55,61
120,00:46:00,61
121,00:46:10,59
122,00:46:20,58
123,00:46:35,58
124,00:46:40,60
125,00:46:50,61
126,00:47:00,63
127,00:47:10,61
128,00:47:20,62
129,00:47:30,60
130,00:47:40,58
131,00:47:55,58
132,00:48:00,59
133,00:48:05,59
134,00:48:20,61
135,00:48:25,62
136,00:48:30,63
137,00:48:40,59
138,00:48:50,58
139,00:49:05,58
140,00:49:20,57
141,00:49:30,57
142,00:49:40,58
143,00:49:45,58
144,00:50:00,58
145,00:50:05,59
146,00:50:20,58
147,00:50:30,64
148,00:50:40,60
149,00:50:50,59
150,00:51:00,57
151,00:51:15,57
152,00:51:20,58
153,00:51:30,56
154,00:51:40,58
155,00:51:50,61
156,00:52:00,59
157,00:52:15,59
158,00:52:30,59
159,00:52:40,58
160,00:52:45,59
161,00:52:50,60
162,00:53:00,60
163,00:53:10,57
164,00:53:20,58
165,00:53:25,58
166,00:53:40,58
167,00:53:55,58
168,00:54:00,59
169,00:54:15,59
170,00:54:20,60
171,00:54:30,59
172,00:54:40,58
173,00:54:50,59
174,00:55:00,61
175,00:55:10,63
176,00:55:20,61
177,00:55:30,60
178,00:55:40,58
179,00:55:50,59
180,00:55:55,59
181,00:56:10,56
182,00:56:15,57
183,00:56:20,57
184,00:56:35,57
185,00:56:45,58
186,00:56:50,59
187,00:56:55,60
188,00:57:10,60
189,00:57:15,56
190,00:57:20,55
191,00:57:30,55
192,00:57:45,56
193,00:58:00,56
